price,charges,surface,disposition,address,district
17500,7000,48,DISP_2_1,"Kloboučnická, Praha - Nusle",Praha-Nusle
46510,8208,43,UNDEFINED,"Na Mokřině, Praha - Žižkov",Praha-Žižkov
20600,4000,51,DISP_1_KK,"Do Roklí, Praha - Přední Kopanina",Praha-Přední Kopanina
20980,0,15,DISP_1_KK,"Na Zátorách, Praha - Holešovice",Praha-Holešovice
25000,6000,56,DISP_2_KK,"Na Zemance, Praha - Braník",Praha-Braník
28000,3500,70,DISP_3_KK,"Na Březince, Praha - Smíchov",Praha-Smíchov
22000,4500,45,DISP_2_KK,"Markušova, Praha - Chodov",Praha-Chodov
14690,5000,30,DISP_1_1,"Čestmírova, Praha - Nusle",Praha-Nusle
24100,3950,58,DISP_2_1,"Kubánské náměstí, Praha - Vršovice",Praha-Vršovice
21000,5000,69,DISP_2_1,"Francouzská, Praha - Vinohrady",Praha-Vinohrady
18490,4725,27,DISP_1_KK,"Obchodní, Říčany - Říčany u Prahy, Středočeský kraj",Říčany
18990,0,43,DISP_2_KK,"K lukám, Praha - Libuš",Praha-Libuš
26500,6000,62,DISP_2_KK,"Sinkulova, Praha - Podolí",Praha-Podolí
16700,1800,25,DISP_1_KK,"Na Břehu, Praha - Vysočany",Praha-Vysočany
24000,4500,54,DISP_2_KK,"Nad Alejí, Praha - Břevnov",Praha-Břevnov
26000,6500,62,DISP_2_KK,"Hlučkova, Praha - Letňany",Praha-Letňany
19000,8000,55,DISP_2_KK,"Paříkova, Praha - Vysočany",Praha-Vysočany
25900,169,51,DISP_2_KK,"Mukařovského, Praha - Praha-Stodůlky",Praha-Stodůlky
13000,1000,25,DISP_3_KK,"Světova, Praha - Libeň",Praha-Libeň
10000,6000,20,DISP_1_KK,"Šlikova, Praha - Břevnov",Praha-Břevnov
23000,6000,58,DISP_2_KK,Praha - Hlubočepy,Praha-Hlubočepy
22000,5000,53,DISP_2_1,"Pod Lipami, Praha - Žižkov",Praha-Žižkov
25200,4300,46,DISP_1_KK,"Klapálkova, Praha - Záběhlice",Praha-Záběhlice
26000,3200,58,DISP_3_1,"Biskupcova, Praha - Žižkov",Praha-Žižkov
26000,5400,68,DISP_4_KK,"Tobrucká, Praha - Vokovice",Praha-Vokovice
49500,14600,146,DISP_4_KK,"Bartoškova, Praha - Nusle",Praha-Nusle
48307,8525,30,UNDEFINED,"Příčná, Praha - Nové Město",Praha-Nové Město
24500,5400,59,DISP_2_KK,"Babická, Praha - Chodov",Praha-Chodov
16500,3500,38,DISP_1_1,"Gdaňská, Praha - Bohnice",Praha-Bohnice
22500,2200,41,DISP_2_KK,"Světova, Praha - Libeň",Praha-Libeň
85734,15129,76,UNDEFINED,"Chodská, Praha - Vinohrady",Praha-Vinohrady
24000,5000,55,DISP_2_1,"Kremličkova, Praha - Krč",Praha-Krč
23900,7000,60,DISP_2_KK,"K Olympiku, Praha - Karlín",Praha-Karlín
16000,3000,27,GARSONIERA,"Myslbekova, Praha - Střešovice",Praha-Střešovice
26500,6500,79,DISP_3_KK,"Bermanova, Praha - Čakovice",Praha-Čakovice
22000,4500,40,DISP_2_KK,"Křivá, Praha - Žižkov",Praha-Žižkov
38990,0,94,DISP_3_KK,"K Červenému vrchu, Praha - Vokovice",Praha-Vokovice
21000,4657,33,DISP_1_KK,"Kurta Konráda, Praha - Libeň",Praha-Libeň
28000,5000,85,DISP_3_1,"Wassermannova, Praha - Hlubočepy",Praha-Hlubočepy
27000,4000,68,DISP_3_KK,"Lublinská, Praha - Troja",Praha-Troja
21900,3500,35,DISP_2_KK,"Jenečská, Praha - Liboc",Praha-Liboc
15500,3500,32,DISP_1_KK,"Poděbradská, Praha - Vysočany",Praha-Vysočany
18000,3400,47,GARSONIERA,"U Kříže, Praha - Jinonice",Praha-Jinonice
21900,5300,51,DISP_2_KK,"Nuselská, Praha - Michle",Praha-Michle
26000,4000,45,DISP_2_KK,"Buchovcova, Praha - Žižkov",Praha-Žižkov
29500,1200,62,DISP_2_KK,"Korunní, Praha - Vinohrady",Praha-Vinohrady
23000,4500,34,DISP_1_KK,"Boleslavova, Praha - Nusle",Praha-Nusle
20043,3537,25,UNDEFINED,"Klapkova, Praha - Kobylisy",Praha-Kobylisy
14912,2631,25,UNDEFINED,"Ďáblická, Praha - Kobylisy",Praha-Kobylisy
21500,7360,63,DISP_2_1,"Patočkova, Praha - Střešovice",Praha-Střešovice
24000,5000,68,DISP_2_KK,"Jevanská, Praha - Strašnice",Praha-Strašnice
17000,4500,27,DISP_1_KK,"Nebřenická, Praha - Chodov",Praha-Chodov
20500,2500,46,DISP_2_KK,"T. G. Masaryka, Horoměřice - Horoměřice, Středočeský kraj",Horoměřice
34000,4266,82,DISP_3_KK,"Kolmanova, Praha - Modřany",Praha-Modřany
29900,6235,47,DISP_2_KK,"Sokolovská, Praha - Karlín",Praha-Karlín
51726,9128,64,UNDEFINED,"Dlážděná, Praha - Nové Město",Praha-Nové Město
24000,4500,46,DISP_2_KK,"Hlučkova, Praha - Letňany",Praha-Letňany
30000,3001,78,DISP_2_1,"Sokolovská, Praha - Karlín",Praha-Karlín
